"","minus.coverage.rate","plus.coverage.rate","total.minus.coverage","total.plus.coverage","rate.ratio","total.ratio","hit.rate"
"1",8677.88732394366,2878.95774647887,616130,204406,0.00467264659484017,0.331757908233652,0.00487759253699935
"2",2856.05633802817,8786.11267605634,202780,623814,0.0433283000101407,3.07630930071999,0.0048453940072362
"3",3825.71830985915,5375.35211267606,271626,381650,0.0140845070422535,1,0.0064305797168371
"4",629.039215686274,340.392156862745,64162,34720,0.00530519866685492,0.541130264019201,0.0038170936261975
"5",582.980392156863,851.823529411765,59464,86886,0.0143250290833406,1.46115296650074,0.0108703977880032
"6",532.470588235294,1101.53921568627,54312,112357,0.00980392156862745,1,0.0143330288135972
"7",1138.3125,1197.91666666667,382473,402500,0.00313202936329275,1.05236186606636,0.0057486351257815
"8",1143.79166666667,1498.0505952381,384314,503345,0.00389798600945606,1.30972329917724,0.00565871596211754
"9",2609.2380952381,950.988095238095,876704,319532,0.00297619047619048,1,0.00624873706710422
"10",423.191666666667,461.908333333333,50783,55429,0.00909572757287544,1.09148730874505,0.00553916550062396
"11",259.883333333333,219.858333333333,31186,26383,0.0070499048718442,0.845988584621304,0.00502812173464779
"12",1549.84166666667,1011.54166666667,185981,121385,0.00833333333333333,1,0.00584676979400085
"13",3778.81355932203,7188.86440677966,445900,848286,0.0161221448907371,1.90241309710697,0.00912657840334693
"14",5789.90677966102,2872.9406779661,683209,339007,0.00420506854852044,0.496198088725412,0.00623051838048468
"15",8427.56779661017,6543.20338983051,994453,772098,0.00847457627118644,1,0.00717311109614532
"16",1620.85975609756,4047.07926829268,265821,663721,0.0152248289950481,2.49687195518789,0.00488626862848729
"17",3109.99390243902,2606.37195121951,510039,427445,0.00511014246208528,0.838063363781985,0.00772733325090248
"18",1728.95731707317,4297.40853658537,283549,704775,0.00609756097560976,1,0.006724716770432
"19",1301.17721518987,2460.53164556962,102793,194382,0.0239367626742056,1.89100425126225,0.010222021335805
"20",3591.53164556962,2012.03797468354,283731,158951,0.00709135756996431,0.560217248027181,0.00983070728866001
"21",2694.08860759494,8748.87341772152,212833,691161,0.0126582278481013,1,0.0108900370744033
"22",601.210526315789,673.302631578947,45692,51171,0.0147356787091602,1.11991158189617,0.00571672707652869
"23",162.578947368421,939.171052631579,12356,71377,0.0760093114787617,5.77670767238589,0.00959074223710658
"24",273.197368421053,1573.69736842105,20763,119601,0.0131578947368421,1,0.00928570555333281
